Teresa;Adamczyk;Szczecin;True;647687;171;59;
Marian;Sikorski;Bytom;True;630411;199;88;
Czesław;Malinowski;Radom;True;622962;169;82;
Anna;Piotrowski;Kraków;False;614609;185;71;
Zdzisław;Walczak;Kraków;False;630267;178;56;
Marcin;Michalski;Lublin;False;602475;185;136;
Krystyna;Wasilewski;Kalisz;False;696928;163;80;
Jolanta;Szulc;Gliwice;True;618384;159;83;
Kazimiera;Szewczyk;Koszalin;True;668734;195;87;
Aneta;Adamczyk;Tychy;True;667449;161;66;
Ewelina;Sokołowski;Włocławek;False;636011;170;72;
Marianna;Adamczyk;Poznań;False;635949;191;126;
Tadeusz;Witkowski;Katowice;True;640895;170;78;
Justyna;Wasilewski;Płock;True;698442;173;58;
Leszek;Baran;Płock;False;667145;160;67;
Daniel;Michalak;Rybnik;False;672592;201;135;
Kamil;Czerwiński;Tychy;True;632521;162;84;
Kamil;Zając;Wałbrzych;True;650242;204;129;
Justyna;Rutkowski;Ruda Śląska;True;668339;199;46;
Jan;Jabłoński;Kielce;False;691568;203;137;
Jan;Sikora;Gorzów Wielkopolski;False;660040;201;51;
Rafał;Szewczyk;Płock;False;655822;202;78;
Mateusz;Olszewski;Lublin;True;606318;185;56;
Roman;Czarnecki;Kalisz;True;657471;177;100;
Renata;Sobczak;Opole;True;623186;184;123;
Stanisława;Sawicki;Katowice;True;632046;180;126;
Sylwia;Sawicki;Poznań;True;663978;172;125;
Adam;Rutkowski;Szczecin;False;682174;157;121;
Marta;Wróbel;Rybnik;False;686792;181;132;
Justyna;Kwiatkowski;Łódź;False;632653;189;129;
Henryk;Olszewski;Ruda Śląska;False;663005;173;47;
Roman;Wieczorek;Szczecin;False;648800;177;98;
Ewa;Rutkowski;Zabrze;True;687678;157;89;
Wojciech;Szymański;Opole;False;687559;193;116;
Justyna;Adamczyk;Kalisz;False;643681;166;82;
Wanda;Walczak;Toruń;False;680845;153;65;
Sylwia;Jabłoński;Elbląg;True;628073;159;71;
Sebastian;Król;Bielsko-Biała;False;646870;156;66;
Aneta;Stępień;Gliwice;True;628372;197;124;
Andrzej;Pawlak;Tarnów;True;683988;201;106;
Jolanta;Sokołowski;Dąbrowa Górnicza;True;629457;152;102;
Daniel;Sobczak;Toruń;False;682711;188;65;
Halina;Zalewski;Radom;True;641846;173;51;
Tomasz;Zakrzewski;Bielsko-Biała;True;648588;160;49;
Łukasz;Wasilewski;Sosnowiec;False;636606;167;109;
Janusz;Marciniak;Elbląg;True;684591;175;55;
Jarosław;Adamski;Tarnów;False;607895;201;90;
Karolina;Pawlak;Opole;True;615542;175;136;
Maciej;Malinowski;Zabrze;True;676195;186;65;
Sławomir;Kwiatkowski;Koszalin;True;639395;201;113;
Marta;Ziółkowski;Bytom;False;656351;187;110;
Damian;Zieliński;Częstochowa;False;674095;188;62;
Genowefa;Andrzejewski;Bytom;False;663382;162;113;
Daniel;Włodarczyk;Ruda Śląska;True;630062;172;122;
Daniel;Jaworski;Bielsko-Biała;False;659277;193;62;
Barbara;Górski;Zabrze;False;611590;189;129;
Agata;Pawłowski;Wrocław;True;638468;186;111;
Katarzyna;Sikorski;Opole;False;695487;174;84;
Kazimierz;Kalinowski;Kalisz;True;698581;195;100;
Stanisława;Lewandowski;Zielona Góra;True;630183;182;53;
Przemysław;Laskowski;Gdańsk;True;623657;183;131;
Wiesław;Sikora;Rybnik;True;659559;169;86;
Paweł;Wasilewski;Łódź;False;635469;177;111;
Genowefa;Wojciechowski;Warszawa;True;604018;189;46;
Katarzyna;Sokołowski;Szczecin;False;694538;173;55;
Anna;Sawicki;Elbląg;False;609125;151;110;
Stanisław;Olszewski;Kielce;False;668395;179;97;
Wiesława;Zakrzewski;Gorzów Wielkopolski;False;647404;179;96;
Wanda;Kucharski;Włocławek;False;694332;191;57;
Halina;Kowalczyk;Zielona Góra;True;613593;163;79;
Bożena;Borkowski;Tychy;True;653028;185;139;
Marta;Lewandowski;Bytom;False;680430;186;106;
Andrzej;Gajewski;Elbląg;False;636660;152;46;
